CodMun,REGIAO,COD UF,UF,NOME MUNIC,POP EST,CLASSE POP
1501725,1 - Norte,15,Pará,Brasil Novo,15086,3 - 10001 até 20000
1501758,1 - Norte,15,Pará,Brejo Grande do Araguaia,7380,2 - 5001 até 10000
1501782,1 - Norte,15,Pará,Breu Branco,66046,5 - 50001 até 100000
1501808,1 - Norte,15,Pará,Breves,102701,6 - 100001 até 500000
1501907,1 - Norte,15,Pará,Bujaru,29132,4 - 20001 até 50000
1501956,1 - Norte,15,Pará,Cachoeira do Piriá,33900,4 - 20001 até 50000
1502004,1 - Norte,15,Pará,Cachoeira do Arari,23767,4 - 20001 até 50000
1502103,1 - Norte,15,Pará,Cametá,137890,6 - 100001 até 500000
1502152,1 - Norte,15,Pará,Canaã dos Carajás,37085,4 - 20001 até 50000
1502202,1 - Norte,15,Pará,Capanema,69027,5 - 50001 até 100000
1502301,1 - Norte,15,Pará,Capitão Poço,54303,5 - 50001 até 100000
1502400,1 - Norte,15,Pará,Castanhal,200793,6 - 100001 até 500000
1502509,1 - Norte,15,Pará,Chaves,23717,4 - 20001 até 50000
1502608,1 - Norte,15,Pará,Colares,12085,3 - 10001 até 20000
1502707,1 - Norte,15,Pará,Conceição do Araguaia,47864,4 - 20001 até 50000
1502756,1 - Norte,15,Pará,Concórdia do Pará,33318,4 - 20001 até 50000
1502764,1 - Norte,15,Pará,Cumaru do Norte,13473,3 - 10001 até 20000
1502772,1 - Norte,15,Pará,Curionópolis,17929,3 - 10001 até 20000
1502806,1 - Norte,15,Pará,Curralinho,34448,4 - 20001 até 50000
1502855,1 - Norte,15,Pará,Curuá,14393,3 - 10001 até 20000
1502905,1 - Norte,15,Pará,Curuçá,40066,4 - 20001 até 50000
1502939,1 - Norte,15,Pará,Dom Eliseu,59719,5 - 50001 até 100000
1502954,1 - Norte,15,Pará,Eldorado do Carajás,33808,4 - 20001 até 50000
1503002,1 - Norte,15,Pará,Faro,7194,2 - 5001 até 10000
1503044,1 - Norte,15,Pará,Floresta do Araguaia,20304,4 - 20001 até 50000
1503077,1 - Norte,15,Pará,Garrafão do Norte,26066,4 - 20001 até 50000
1503093,1 - Norte,15,Pará,Goianésia do Pará,40475,4 - 20001 até 50000
1503101,1 - Norte,15,Pará,Gurupá,33376,4 - 20001 até 50000
1503200,1 - Norte,15,Pará,Igarapé-Açu,38807,4 - 20001 até 50000
1503309,1 - Norte,15,Pará,Igarapé-Miri,62698,5 - 50001 até 100000
1503408,1 - Norte,15,Pará,Inhangapi,11711,3 - 10001 até 20000
1503457,1 - Norte,15,Pará,Ipixuna do Pará,64053,5 - 50001 até 100000
1503507,1 - Norte,15,Pará,Irituia,32550,4 - 20001 até 50000
1503606,1 - Norte,15,Pará,Itaituba,101247,6 - 100001 até 500000
1503705,1 - Norte,15,Pará,Itupiranga,53269,5 - 50001 até 100000
1503754,1 - Norte,15,Pará,Jacareacanga,8239,2 - 5001 até 10000
1503804,1 - Norte,15,Pará,Jacundá,59155,5 - 50001 até 100000
1503903,1 - Norte,15,Pará,Juruti,57943,5 - 50001 até 100000
1504000,1 - Norte,15,Pará,Limoeiro do Ajuru,28935,4 - 20001 até 50000
1504059,1 - Norte,15,Pará,Mãe do Rio,30077,4 - 20001 até 50000
1504109,1 - Norte,15,Pará,Magalhães Barata,8548,2 - 5001 até 10000
1504208,1 - Norte,15,Pará,Marabá,279349,6 - 100001 até 500000
1504307,1 - Norte,15,Pará,Maracanã,29473,4 - 20001 até 50000
1504406,1 - Norte,15,Pará,Marapanim,28336,4 - 20001 até 50000
1504422,1 - Norte,15,Pará,Marituba,131521,6 - 100001 até 500000
1504455,1 - Norte,15,Pará,Medicilândia,31597,4 - 20001 até 50000
1504505,1 - Norte,15,Pará,Melgaço,27654,4 - 20001 até 50000
